,Sales,Quantity,Shipping Cost,Ship Mode_First Class,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Segment_Consumer,Segment_Corporate,Segment_Home Office,Order Priority_Critical,Order Priority_High,Order Priority_Low,Order Priority_Medium,Country,Region,Market,Category,Sub-Category,Discount_Category
0,5175.171,2.0,36.40256873369456,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,388.5999046219966,378.69890981107693,395.84910506670815,535.9989119538648,612.2622458977125,310.04537799827125
1,2892.51,0.6666666666666666,36.18864138069436,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,344.5381196706123,288.102422039433,329.97633748557666,533.515733138556,597.1251919249015,311.18029634949613
2,2862.675,0.6666666666666666,35.67449327714228,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,403.5263866612637,385.5499736529721,387.9176891870533,533.515733138556,597.1251919249015,311.18029634949613
3,1822.08,0.3333333333333333,35.57094120008027,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,301.36410048374563,383.69834964467964,392.71802304093455,476.66292896654215,499.14551193155285,311.57098827487084
4,5083.96,0.6666666666666666,34.484045755568935,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,268.07602865541276,257.3636522202007,268.07602865541276,135.05695723389877,78.34039190141378,312.93008806718814
5,4297.644,3.3333333333333335,34.40577965081276,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,268.7418480346889,267.18976436870395,268.7418480346889,476.66292896654215,1036.9982985022727,232.53238164531416
6,4626.15,0.6666666666666666,33.19486253261088,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,274.48877677185646,437.597576913302,387.9176891870533,480.9462881902718,1053.7953851303334,311.18029634949613
7,2616.96,0.3333333333333333,33.068031306441895,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,208.66486453301042,196.13808169032748,196.13808169032748,533.515733138556,597.1251919249015,311.18029634949613
8,3701.52,3.0,31.949428055388317,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,438.0164584597867,432.39693305881093,392.71802304093455,137.5063041986028,697.6222925664358,311.57098827487084
9,2249.91,2.0,30.992574754164156,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,271.32409898955785,266.24017030150566,271.32409898955785,533.515733138556,273.9145717902962,311.18029634949613
10,3409.74,1.0,30.297411198073448,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,185.52073113455018,193.43095239914098,193.43095239914098,135.05695723389877,698.4485775906547,312.93008806718814
11,1977.72,0.3333333333333333,30.14047762392133,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,154.4375342093738,193.65279842264445,193.65279842264445,482.31776200348105,1047.7545393320459,312.93008806718814
12,2754.0,1.0,29.859522376078665,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,416.6731429701278,412.9670795174619,387.9176891870533,480.9462881902718,503.67479480653617,311.18029634949613
13,5273.7,2.3333333333333335,28.994180212723254,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,363.7974637119497,291.81413991622395,322.18185839764874,140.0503861202263,691.444189360015,310.04537799827125
14,1715.16,-0.3333333333333333,28.77985149508328,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,722.5992064946939,425.6937470953114,395.84910506670815,466.87840827672926,992.0588077113647,310.04537799827125
15,4158.912,1.6666666666666667,28.341962673088496,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,268.7418480346889,253.16193167608859,268.7418480346889,526.6167170270539,600.3964093078235,311.57098827487084
